Localidad	Derivado		Boca de expendio					Dirección			Bandera		Precio sin impuesto	Precio final	Volumen informado (m3)		Exento
CAPITAL FEDERAL	Gas Oil Grado 3		AUTOMOVIL CLUB ARGENTINO					godoy cruz 3151			YPF		1.697,91	2.330,00	108,01		NO
CAPITAL FEDERAL	Gas Oil Grado 3		OPESSA					AV DIRECTORIO 4311/27 Y OLIVERA			YPF		1.740,69	2.318,00	42,50		NO
CAPITAL FEDERAL	Gas Oil Grado 3		PETROLFE S.A.					Av.San Juan 2901			YPF		1.697,15	2.318,00	47,96		SI
CAPITAL FEDERAL	Gas Oil Grado 3		OPESSA					AV DIAZ VELEZ 4373 Y YATAY			YPF		1.742,39	2.320,00	48,47		NO
CAPITAL FEDERAL	Gas Oil Grado 3		OPESSA					FIGUEROA ALCORTA 6608 Y ECHEVERRIA			YPF		1.767,96	2.350,00	152,03		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.C.I.F.I					24 DE NOVIEMBRE E INDEPENDENCIA			SHELL C.A.P.S.A.		1.822,91	2.499,00	61,83		NO
CAPITAL FEDERAL	Gas Oil Grado 3		PERFORMANCE FUELS SRL					AV BEIRO 4610			SHELL C.A.P.S.A.		1.808,41	2.499,00	47,63		NO
CAPITAL FEDERAL	Gas Oil Grado 3		OPESSA					AV.FRANCISCO BEIRÓ 5804			YPF		1.749,21	2.328,00	68,03		NO
CAPITAL FEDERAL	Gas Oil Grado 3		TERGEN SRL					Directorio 2578			YPF		1.681,54	2.318,00	43,29		NO
CAPITAL FEDERAL	Gas Oil Grado 3		OPESSA ACA AUTODROMO					AVENIDA CNEL. JOSE SEGUNDO ROCA 4550			YPF		1.740,69	2.318,00	69,42		NO
CAPITAL FEDERAL	Gas Oil Grado 3		OPESSA ACA CABALLITO					AV GAONA 1204 Y MARTIN DE GAINZA			YPF		1.742,39	2.320,00	15,25		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.F.E.I					AU DELLEPIANE 4180			SHELL C.A.P.S.A.		1.822,90	2.499,00	92,55		NO
CAPITAL FEDERAL	Gas Oil Grado 3		PASGAL S.A.					ATUEL 1093			SHELL C.A.P.S.A.		1.827,90	2.499,00	70,25		NO
CAPITAL FEDERAL	Gas Oil Grado 3		OPESSA ACA ONCE					AV RIVADAVIA 3341			YPF		1.742,39	2.320,00	59,83		NO
CAPITAL FEDERAL	Gas Oil Grado 3		PANAMERICANA SRL					AV. SAN MARTIN 5316			YPF		1.696,41	2.328,00	28,99		NO
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Jujuy 164/196 (esq. Alsina)			AXION		1.799,42	2.469,00	19,17		SI
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Las Heras 2499 (esq. Galileo)			AXION		1.791,16	2.459,00	32,88		SI
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Juan de Garay 1302 (esq. Santiago del Estero)			AXION		1.799,42	2.469,00	43,45		SI
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Cruz 1501 (esq. Centenera)			AXION		1.799,42	2.469,00	36,64		SI
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.F.E.I					AU. DELLEPIANE 4187 (MANO PROVINCIA)			SHELL C.A.P.S.A.		1.822,90	2.499,00	116,47		NO
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					J. B. Justo 8005 (esq. Lope De Vega)			AXION		1.799,42	2.469,00	55,35		SI
